profile,sample,method,bitrate,change,ineff,stall,numStall,avgStall,overflow,numOverflow,qoe,bufSize
p1,t1,dy,2500.5,46,0.413302,0,0,0,0,0,671879,120
p1,t1,elastic,3041.7,32,0.257126,0.756,1,0.756,0,0,852899,120
p1,t1,gd,2233.55,44,0.591676,0,0,0,40.695,5,599683,120
p1,t1,kama,1601.6,32,0.521325,0,0,0,121.356,21,425315,120
p1,t1,quetra,3125.99,30,0.337545,0,0,0,0,0,879232,120
p1,t1,ra,3096.87,22,0.33992,0,0,0,0,0,882659,120
p1,t2,abr,2288.35,11,0.266467,0,0,0,126.163,62,280120,120
p1,t2,ar,3551.22,12,0.291898,0,0,0,0,0,443971,120
p1,t2,bba,3179.84,10,0.3468,0,0,0,16.186,6,393709,120
p1,t2,bola,3246.32,6,0.288348,0,0,0,0,0,410517,120
p1,t2,dy,3395.04,30,0.359316,0,0,0,35.018,3,404353,120
p1,t2,elastic,3261.66,12,0.211326,0,0,0,0,0,407998,120
p1,t2,gd,3184.68,28,0.453744,0,0,0,79.704,6,377009,120
p1,t2,kama,2118.76,11,0.469113,0,0,0,204.144,4,257640,120
p1,t2,quetra,3501.96,14,0.322749,0,0,0,0,0,433719,120
p1,t2,ra,3486.88,10,0.310219,0,0,0,0,0,438370,120
p1,t3,abr,2015.92,11,0.339567,0,0,0,142.816,170,641998,120
p1,t3,ar,3174.61,17,0.349583,0,0,0,0,0,1.00803e+06,120
p1,t3,bba,3331.42,58,0.461289,0,0,0,12.036,4,966609,120
p1,t3,bola,3076.22,6,0.38268,0,0,0,0,0,993846,120
p1,t3,dy,2690.81,54,0.499692,0,0,0,31.37,10,807568,120
p1,t3,elastic,3336.04,30,0.259675,0,0,0,0,0,1.04388e+06,120
p1,t3,gd,2270.34,44,0.508621,0,0,0,109.215,11,680471,120
p1,t3,kama,1952.57,14,0.545373,0,0,0,266.28,32,617519,120
p1,t3,quetra,3061.13,18,0.388928,0,0,0,0,0,967341,120
p1,t3,ra,3162.33,19,0.373551,0,0,0,0,0,1.00232e+06,120
p1,t4,abr,1798.6,9,0.384585,0,0,0,169.83,9,197109,120
p1,t4,ar,3601.95,14,0.336536,0,0,0,0,0,399415,120
p1,t4,bba,3301.85,30,0.375419,0,0,0,0,0,318763,120
p1,t4,bola,2601.9,5,0.356724,0,0,0,0,0,294988,120
p1,t4,dy,2901.4,31,0.458184,0,0,0,30.014,4,296661,120
p1,t4,elastic,3084.66,12,0.252689,0,0,0,15.942,1,342932,120
p1,t4,gd,2391.34,26,0.497764,0,0,0,97.152,8,245937,120
p1,t4,kama,2258.9,19,0.502261,0,0,0,143.727,4,231849,120
p1,t4,quetra,3451.14,10,0.405046,0,0,0,2.206,0,391297,120
p1,t4,ra,3485.12,10,0.336862,0,0,0,0,0,394340,120
p1,t5,abr,1382.19,4,0.426599,0,0,0,0,0,81046.8,120
p1,t5,ar,2798.21,16,0.620689,0,0,0,0,0,158921,120
p1,t5,bba,2841.29,6,0.657239,0,0,0,23.442,16,168973,120
p1,t5,bola,1740.93,9,0.338464,0,0,0,0,0,98519.9,120
p1,t5,dy,2747.05,10,0.528655,0,0,0,15.571,9,159075,120
p1,t5,elastic,2070.76,11,0.346127,0,0,0,0,0,114343,120
p1,t5,gd,2616.24,30,0.68492,0,0,0,17.795,8,139248,120
p1,t5,kama,1230.98,16,0.838183,0,0,0,44.025,21,63241.6,120
p1,t5,quetra,2793.21,16,0.597177,0,0,0,0,0,158696,120
p1,t5,ra,2796.31,16,0.593955,0,0,0,0,0,158743,120
p1,t6,abr,2228.36,38,0.355483,3.742,1,3.742,72.586,48,422286,120
p1,t6,ar,3005.12,90,0.435842,0,0,0,0,0,584478,120
p1,t6,bba,3058.93,43,0.703239,0,0,0,0,0,606049,120
p1,t6,bola,2586.9,16,0.289507,3.502,1,3.502,0,0,511100,120
