profile,sample,method,bitrate,change,ineff,stall,numStall,avgStall,overflow,numOverflow,qoe
p4,t2,bba,1725.26,5,0.113018,52.695,21,2.50929,0,0,-9389.05
p4,t2,bola,1622,0,0.132447,52.014,20,2.6007,0,0,-22286.2
p4,t2,dy,1622,0,0.157603,52.663,20,2.63315,0,0,-22698
p4,t2,elastic,1622,0,0.1204,52.106,23,2.26548,0,0,-21438.2
p4,t2,gd,1622,0,0.169608,52.762,20,2.6381,0,0,-21723.6
p4,t2,kama,1622,0,0.160205,52.58,21,2.50381,0,0,-21189.5
p4,t2,quetra,1622,0,0.15696,52.653,21,2.50729,0,0,-21487.1
p4,t2,ra,1622,0,0.211014,52.568,20,2.6284,0,0,-22004.9
p4,t3,abr,1602.73,154,0.156008,4.459,4,1.11475,0,0,281727
p4,t3,ar,1574.99,17,0.130104,5.143,5,1.0286,5.482,5,476438
p4,t3,bba,1609.9,53,0.108333,4.797,6,0.7995,0,0,465151
p4,t3,bola,1301.59,3,0.175305,19.631,11,1.78464,0,0,340719
p4,t3,dy,1284.01,4,0.136556,5.722,7,0.817429,63.605,66,390161
p4,t3,elastic,1844.2,37,0.11173,18.794,11,1.70855,9.546,9,477533
p4,t3,gd,1198,0,0.130851,4.949,4,1.23725,73.503,83,370960
p4,t3,kama,1198,0,0.136267,5.361,6,0.8935,72.982,83,368716
p4,t3,quetra,1308.93,10,0.1335,6.034,8,0.75425,32.326,32,392265
p4,t3,ra,1693.91,15,0.0951301,4.745,3,1.58167,3.645,5,516699
p4,t4,abr,1221.85,112,0.142689,1.983,2,0.9915,0,0,-46154.2
p4,t4,ar,1418.02,7,0.131059,3.277,1,3.277,0,0,137161
p4,t4,bba,1453.37,27,0.117747,3.324,2,1.662,0,0,126730
p4,t4,bola,1143,0,0.160361,8.767,4,2.19175,0,0,83500.2
p4,t4,dy,1537.27,4,0.152149,3.085,2,1.5425,7.681,4,150676
p4,t4,elastic,1291.52,5,0.121266,0,0,0,39.647,24,131965
p4,t4,gd,1143,0,0.14138,2.84,1,2.84,52.641,27,111292
p4,t4,kama,1143,0,0.130819,2.665,2,1.3325,53.452,28,111060
p4,t4,quetra,1421.06,9,0.140038,2.94,2,1.47,0,0,136582
p4,t4,ra,1848.06,8,0.12388,2.754,2,1.377,7.439,3,187987
p4,t5,abr,1021,100,0.338769,3.822,3,1.274,0,0,3537.48
p4,t5,ar,823.144,12,0.440198,0,0,0,0,0,40713.1
p4,t5,bba,732.215,8,0.405924,0,0,0,0,0,38371.1
p4,t5,bola,536.214,6,0.416687,4.014,2,2.007,0,0,19379.7
p4,t5,dy,354.063,2,0.534285,0,0,0,2.462,1,17735.8
p4,t5,elastic,660.524,17,0.283716,6.87,3,2.29,0,0,16234.1
p4,t5,gd,353.568,2,0.543434,0,0,0,2.49,1,18109.7
p4,t5,kama,355.166,2,0.535495,0,0,0,2.475,1,16922.8
p4,t5,quetra,814.871,10,0.42126,0,0,0,0,0,40088
p4,t5,ra,771.441,8,0.423353,0,0,0,0,0,40731.6
p4,t6,abr,808.863,719,0.355408,17.207,6,2.86783,0,0,-562082
p4,t6,ar,927.789,69,0.376728,0,0,0,0,0,165015
p4,t6,bba,1179.05,82,0.754955,0,0,0,0,0,212025
p4,t6,bola,913.312,19,0.242033,14.491,2,7.2455,0,0,88373.9
p4,t6,dy,3408.96,91,0.700798,0,0,0,16.101,12,657655
p4,t6,elastic,1042.91,109,0.255785,10.723,4,2.68075,0,0,112968
p4,t6,gd,1882.77,47,0.726596,0,0,0,130.117,57,358066
p4,t6,kama,1259.6,23,0.708423,0,0,0,189.045,93,242735
p4,t6,quetra,1157.46,75,0.379802,0,0,0,0,0,214183
p4,t6,ra,1012.4,55,0.361021,0,0,0,0,0,185025
p4,t7,abr,1107.61,525,0.407686,0,0,0,0,0,-85090.2
p4,t7,ar,1306.09,39,0.41504,0,0,0,0,0,407016
p4,t7,bba,969.259,71,0.812495,0,0,0,0,0,272446
p4,t7,bola,769.042,12,0.36487,0,0,0,0,0,244443
p4,t7,dy,1104.45,51,0.632713,0,0,0,97.814,86,328589
p4,t7,elastic,1073.16,87,0.325847,0,0,0,0,0,297689
p4,t7,gd,448.568,13,0.618246,0,0,0,191.601,167,137153
p4,t7,kama,631.366,27,0.641721,0,0,0,173.926,157,186279
p4,t7,quetra,1176.12,43,0.412406,0,0,0,0,0,361086
p4,t7,ra,1123.17,35,0.389785,0,0,0,0,0,347130
