profile,sample,method,bitrate,change,ineff,stall,numStall,avgStall,overflow,numOverflow
p3,t2,ra,2222.81,14,0.212664,3.808,2,1.904,5.249,3
p3,t3,abr,1357.23,32,0.27696,3.251,2,1.6255,147.964,158
p3,t3,ar,2349.79,29,0.244402,1.806,1,1.806,0,0
p3,t3,bba,2085.84,23,0.25906,2.312,1,2.312,0,0
p3,t3,bola,1923.17,1,0.220537,1.888,2,0.944,0,0
p3,t3,dy,1405.35,10,0.383925,1.934,1,1.934,171.326,165
p3,t3,elastic,2280.69,77,0.166548,2.527,2,1.2635,0,0
p3,t3,gd,1203.54,2,0.387523,1.944,1,1.944,200.918,198
p3,t3,kama,1198,0,0.39492,2.032,1,2.032,200.092,195
p3,t3,quetra,2429.59,47,0.283264,1.743,1,1.743,0,0
p3,t3,ra,2385.68,31,0.237335,2.428,1,2.428,0,0
p3,t4,abr,1401.75,9,0.30453,0,0,0,127.013,14
p3,t4,ar,2552.73,18,0.296587,0,0,0,0,0
p3,t4,bba,1992.01,9,0.26285,0,0,0,0,0
p3,t4,bola,1744.98,1,0.251104,0,0,0,0,0
p3,t4,dy,1522.59,4,0.392632,0,0,0,167.081,6
p3,t4,elastic,1880.29,23,0.173416,0,0,0,19.325,15
p3,t4,gd,1143,0,0.406977,0,0,0,196.602,5
p3,t4,kama,1143,0,0.402218,0,0,0,198.817,8
p3,t4,quetra,2546.18,18,0.316823,0,0,0,2.962,0
p3,t4,ra,2632.22,20,0.27912,0,0,0,0,0
p3,t5,abr,1004.14,18,0.382705,2.136,2,1.068,0,0
p3,t5,ar,1891.62,17,0.451249,0,0,0,0,0
p3,t5,bba,1593.15,15,0.471792,0,0,0,0,0
p3,t5,bola,1489.83,15,0.388135,0,0,0,0,0
p3,t5,dy,776.598,20,0.688661,0,0,0,17.464,6
p3,t5,elastic,1132.55,30,0.347913,8.607,4,2.15175,0,0
p3,t5,gd,437.929,10,0.712135,0,0,0,46.845,16
p3,t5,kama,354.515,4,0.768388,0,0,0,62.419,22
p3,t5,quetra,1763.07,15,0.481591,0,0,0,0,0
p3,t5,ra,1761.89,15,0.516347,0,0,0,0,0
p3,t6,abr,1230.08,61,0.383925,0,0,0,81.896,49
p3,t6,ar,1803.6,67,0.405201,0,0,0,0,0
